,District_1,District_2
0,kinnaur/Q1862950,kullu/Q2980880
1,kinnaur/Q1862950,lahaul_and_spiti/Q837595
2,kinnaur/Q1862950,uttarkashi/Q1773437
3,kinnaur/Q1862950,shimla/Q1921404
4,kullu/Q2980880,shimla/Q1921404
5,kullu/Q2980880,kangra/Q727232
6,kullu/Q2980880,mandi/Q1892161
7,chamba/Q1060614,lahaul_and_spiti/Q837595
8,chamba/Q1060614,kishtwar/Q2321899
9,chamba/Q1060614,pathankot/Q172269
10,chamba/Q1060614,doda/Q2298979
11,chamba/Q1060614,kathua/Q2375700
12,kangra/Q727232,hoshiarpur/Q304800
13,kangra/Q727232,una/Q2301741
14,kangra/Q727232,gurdaspur/Q146708
15,kangra/Q727232,hamirpur/Q2086180
16,kishtwar/Q2321899,anantnag/Q2982349
17,kishtwar/Q2321899,kargil/Q1650798
18,shimla/Q1921404,uttarkashi/Q1773437
19,shimla/Q1921404,sirmaur/Q654331
20,shimla/Q1921404,dehradun/Q1815740
21,shimla/Q1921404,solan/Q2980937
22,uttarkashi/Q1773437,tehri_garhwal/Q1357107
23,uttarkashi/Q1773437,chamoli/Q1797372
24,uttarkashi/Q1773437,rudraprayag/Q1805059
25,mandi/Q1892161,solan/Q2980937
26,mandi/Q1892161,bilaspur/Q1478939
27,kathua/Q2375700,udhampur/Q1947311
28,kathua/Q2375700,samba/Q1117086
29,pathankot/Q172269,gurdaspur/Q146708
30,doda/Q2298979,anantnag/Q2982349
31,doda/Q2298979,ramban/Q2321939
32,una/Q2301741,rupnagar/Q196508
33,hamirpur/Q2086180,bilaspur/Q1478939
34,gurdaspur/Q146708,kapurthala/Q172363
35,gurdaspur/Q146708,amritsar/Q202822
36,hoshiarpur/Q304800,kapurthala/Q172363
37,hoshiarpur/Q304800,jalandhar/Q1817425
38,hoshiarpur/Q304800,shahid_bhagat_singh_nagar/Q202710
39,bilaspur/Q1478939,rupnagar/Q196508
40,rupnagar/Q196508,solan/Q2980937
41,rupnagar/Q196508,fatehgarh_sahib/Q172485
42,rupnagar/Q196508,s.a.s._nagar/Q2037672
43,rupnagar/Q196508,ludhiana/Q172482
44,solan/Q2980937,panchkula/Q1898143
45,sirmaur/Q654331,ambala/Q2086226
46,sirmaur/Q654331,saharanpur/Q1797326
47,sirmaur/Q654331,yamunanagar/Q1873644
48,panchkula/Q1898143,ambala/Q2086226
49,panchkula/Q1898143,chandigarh/Q5071071
50,dehradun/Q1815740,haridwar/Q2270438
51,dehradun/Q1815740,pauri_garhwal/Q2085474
52,ambala/Q2086226,patiala/Q172391
53,ambala/Q2086226,kurukshetra/Q980118
54,saharanpur/Q1797326,haridwar/Q2270438
55,saharanpur/Q1797326,karnal/Q607915
56,saharanpur/Q1797326,muzaffarnagar/Q2365710
57,saharanpur/Q1797326,shamli/Q2999938
