,Length of Human Path,Length of Shortest Path,Ratio of Human to Shortest Path
0,9,4.0,2.25
1,5,4.0,1.25
2,8,4.0,2.0
3,4,3.0,1.3333333333333333
4,7,4.0,1.75
5,6,4.0,1.5
6,4,4.0,1.0
7,6,4.0,1.5
8,4,4.0,1.0
9,7,4.0,1.75
10,12,4.0,3.0
11,10,4.0,2.5
12,5,4.0,1.25
13,12,4.0,3.0
14,7,4.0,1.75
15,5,4.0,1.25
16,10,4.0,2.5
17,10,4.0,2.5
18,8,4.0,2.0
19,11,4.0,2.75
20,8,4.0,2.0
21,7,4.0,1.75
22,4,4.0,1.0
23,4,4.0,1.0
24,5,4.0,1.25
25,10,4.0,2.5
26,4,4.0,1.0
27,7,4.0,1.75
28,4,4.0,1.0
29,4,4.0,1.0
30,5,4.0,1.25
31,5,4.0,1.25
32,8,4.0,2.0
33,4,4.0,1.0
34,6,4.0,1.5
35,6,4.0,1.5
36,15,3.0,5.0
37,4,3.0,1.3333333333333333
38,6,3.0,2.0
39,6,3.0,2.0
40,4,3.0,1.3333333333333333
41,17,4.0,4.25
42,8,4.0,2.0
43,6,4.0,1.5
44,7,4.0,1.75
45,7,4.0,1.75
46,5,4.0,1.25
47,6,4.0,1.5
48,6,4.0,1.5
49,5,4.0,1.25
50,4,3.0,1.3333333333333333
51,10,5.0,2.0
52,8,6.0,1.3333333333333333
53,8,4.0,2.0
54,5,4.0,1.25
55,4,2.0,2.0
56,17,3.0,5.666666666666667
57,14,3.0,4.666666666666667
58,6,3.0,2.0
59,6,3.0,2.0
60,4,3.0,1.3333333333333333
61,6,3.0,2.0
62,3,3.0,1.0
63,5,3.0,1.6666666666666667
64,4,3.0,1.3333333333333333
65,5,4.0,1.25
66,7,3.0,2.3333333333333335
67,4,3.0,1.3333333333333333
68,6,3.0,2.0
69,4,3.0,1.3333333333333333
70,4,3.0,1.3333333333333333
71,10,4.0,2.5
72,6,5.0,1.2
73,10,5.0,2.0
74,6,4.0,1.5
75,5,4.0,1.25
76,4,3.0,1.3333333333333333
77,5,4.0,1.25
78,8,4.0,2.0
79,4,4.0,1.0
80,4,4.0,1.0
81,5,3.0,1.6666666666666667
82,6,3.0,2.0
83,5,3.0,1.6666666666666667
84,5,4.0,1.25
85,4,4.0,1.0
86,8,5.0,1.6
87,10,5.0,2.0
88,8,5.0,1.6
89,8,5.0,1.6
90,18,5.0,3.6
91,6,5.0,1.2
92,6,5.0,1.2
93,5,5.0,1.0
94,15,5.0,3.0
95,7,5.0,1.4
96,7,5.0,1.4
97,7,5.0,1.4
98,7,5.0,1.4
99,6,5.0,1.2
100,6,5.0,1.2
101,10,5.0,2.0
102,6,5.0,1.2
103,6,5.0,1.2
104,13,5.0,2.6
105,14,5.0,2.8
106,7,5.0,1.4
107,7,5.0,1.4
108,5,4.0,1.25
109,5,4.0,1.25
110,6,3.0,2.0
111,5,3.0,1.6666666666666667
112,3,3.0,1.0
113,5,3.0,1.6666666666666667
114,3,3.0,1.0
115,7,3.0,2.3333333333333335
116,4,3.0,1.3333333333333333
117,5,3.0,1.6666666666666667
118,5,3.0,1.6666666666666667
119,5,3.0,1.6666666666666667
120,3,3.0,1.0
121,7,3.0,2.3333333333333335
122,7,4.0,1.75
123,5,4.0,1.25
124,4,4.0,1.0
125,7,4.0,1.75
126,10,5.0,2.0
127,7,5.0,1.4
128,4,4.0,1.0
129,17,5.0,3.4
130,10,5.0,2.0
131,10,5.0,2.0
132,11,5.0,2.2
133,9,5.0,1.8
134,6,4.0,1.5
135,7,4.0,1.75
136,6,4.0,1.5
137,4,4.0,1.0
138,6,5.0,1.2
139,8,5.0,1.6
140,17,5.0,3.4
141,6,5.0,1.2
142,17,5.0,3.4
143,9,5.0,1.8
144,7,5.0,1.4
145,6,5.0,1.2
146,8,5.0,1.6
147,7,5.0,1.4
148,6,5.0,1.2
149,7,5.0,1.4
150,7,5.0,1.4
151,6,5.0,1.2
152,6,5.0,1.2
153,6,5.0,1.2
154,7,5.0,1.4
155,7,5.0,1.4
156,8,5.0,1.6
157,11,5.0,2.2
158,5,5.0,1.0
159,13,5.0,2.6
160,7,5.0,1.4
161,5,5.0,1.0
162,5,5.0,1.0
163,6,5.0,1.2
164,7,5.0,1.4
165,5,5.0,1.0
